NDB_No	Nutr_No	Flav_Val (mg Per 100g)
99683	734	1.2
99683	735	1.73
99683	736	0
99684	734	1.19
99684	735	0
99684	736	0
99685	734	2.5
99685	735	5.2
99685	736	15.9
99685	737	6.92
